node_name,execution_time,node_started_at,node_finished_at,node_status,dbt_pid,thread_name
agetbl,1.0530307292938232,2022-08-18T20:59:25.872714,2022-08-18T20:59:26.960983,success,39399,Thread-1
temp,2.2284090518951416,2022-08-18T20:59:26.984381,2022-08-18T20:59:29.217132,success,39399,Thread-1
z_elixhauser_quan,3.9292140007019043,2022-08-18T20:59:25.891544,2022-08-18T20:59:29.849355,success,39399,Thread-2
min_surviving_bp,1.9708631038665771,2022-08-18T20:59:29.219549,2022-08-18T20:59:31.192049,success,39399,Thread-1
rr,1.802562952041626,2022-08-18T20:59:31.192731,2022-08-18T20:59:32.996553,success,39399,Thread-1
z_dobutamine_durations,4.345152854919434,2022-08-18T20:59:29.852392,2022-08-18T20:59:34.203095,success,39399,Thread-2
sodium,2.371999979019165,2022-08-18T20:59:32.997321,2022-08-18T20:59:35.372278,success,39399,Thread-1
z_elixhauser_ahrq_v37,1.171440839767456,2022-08-18T20:59:34.208314,2022-08-18T20:59:35.386748,success,39399,Thread-2
z_icustay_detail,0.5572681427001953,2022-08-18T20:59:35.375617,2022-08-18T20:59:35.937212,success,39399,Thread-1
z_elixhauser_ahrq_v37_no_drg,0.5483529567718506,2022-08-18T20:59:35.389596,2022-08-18T20:59:35.945955,success,39399,Thread-2
z_elixhauser_score_quan,0.11831974983215332,2022-08-18T20:59:35.947576,2022-08-18T20:59:36.075218,success,39399,Thread-2
z_elixhauser_score_ahrq,0.13066434860229492,2022-08-18T20:59:36.076673,2022-08-18T20:59:36.209584,success,39399,Thread-2
z_adenosine_durations,0.10290813446044922,2022-08-18T20:59:36.211009,2022-08-18T20:59:36.316247,success,39399,Thread-2
bun,2.086089849472046,2022-08-18T20:59:36.319663,2022-08-18T20:59:38.408422,success,39399,Thread-2
z_code_status,13.334406852722168,2022-08-18T20:59:25.892168,2022-08-18T20:59:39.266598,success,39399,Thread-3
gcs,0.9080698490142822,2022-08-18T20:59:38.416575,2022-08-18T20:59:39.327657,success,39399,Thread-2
heart_rate,3.6677517890930176,2022-08-18T20:59:35.939287,2022-08-18T20:59:39.614021,success,39399,Thread-1
z_echo_data,13.82331395149231,2022-08-18T20:59:25.898580,2022-08-18T20:59:39.761525,success,39399,Thread-4
potassium,1.9840710163116455,2022-08-18T20:59:39.631710,2022-08-18T20:59:41.622705,success,39399,Thread-1
hco,2.2804582118988037,2022-08-18T20:59:39.328244,2022-08-18T20:59:41.627259,success,39399,Thread-2
glucose,2.4141650199890137,2022-08-18T20:59:39.270600,2022-08-18T20:59:41.690936,success,39399,Thread-3
sbp,2.3986330032348633,2022-08-18T20:59:39.778131,2022-08-18T20:59:42.183384,success,39399,Thread-4
wbc,1.3854341506958008,2022-08-18T20:59:41.632782,2022-08-18T20:59:43.021625,success,39399,Thread-1
